ts_code,date,pre_close,open,high,low,close,change,pct_chg,volume,amount,adj_factor
159692.SZ,2024-01-02,0.972,0.968,0.969,0.962,0.962,-0.01,-1.0288,68767.0,6638.613,1.0
159692.SZ,2024-01-03,0.962,0.961,0.966,0.958,0.963,0.001,0.104,89167.0,8575.408,1.0
159692.SZ,2024-01-04,0.963,0.963,0.963,0.946,0.955,-0.008,-0.8307,77090.0,7350.094,1.0
159692.SZ,2024-01-05,0.955,0.954,0.961,0.944,0.946,-0.009,-0.9424,91357.18,8728.412,1.0
159692.SZ,2024-01-08,0.946,0.941,0.944,0.929,0.931,-0.015,-1.5856,141483.0,13262.619,1.0
159692.SZ,2024-01-09,0.931,0.93,0.933,0.92,0.925,-0.006,-0.6445,86887.06,8075.777,1.0
159692.SZ,2024-01-10,0.925,0.92,0.931,0.917,0.918,-0.007,-0.7568,76543.03,7054.613,1.0
159692.SZ,2024-01-11,0.918,0.919,0.931,0.918,0.929,0.011,1.1983,121899.11,11275.987,1.0
159692.SZ,2024-01-12,0.929,0.929,0.932,0.921,0.921,-0.008,-0.8611,91514.0,8493.787,1.0
159692.SZ,2024-01-15,0.921,0.917,0.927,0.913,0.919,-0.002,-0.2172,81438.07,7485.05,1.0
159692.SZ,2024-01-16,0.919,0.917,0.925,0.911,0.925,0.006,0.6529,83495.0,7671.239,1.0
159692.SZ,2024-01-17,0.925,0.923,0.923,0.911,0.912,-0.013,-1.4054,75416.0,6940.334,1.0
159692.SZ,2024-01-18,0.912,0.9,0.922,0.889,0.921,0.009,0.9868,105826.0,9515.761,1.0
159692.SZ,2024-01-19,0.921,0.912,0.916,0.906,0.914,-0.007,-0.76,80777.0,7360.075,1.0
159692.SZ,2024-01-22,0.914,0.914,0.917,0.887,0.895,-0.019,-2.0788,98140.0,8957.324,1.0
159692.SZ,2024-01-23,0.895,0.891,0.915,0.885,0.908,0.013,1.4525,88047.15,7914.935,1.0
159692.SZ,2024-01-24,0.908,0.91,0.954,0.9,0.947,0.039,4.2952,133424.0,12253.818,1.0
159692.SZ,2024-01-25,0.947,0.947,0.963,0.936,0.957,0.01,1.056,108349.0,10269.108,1.0
159692.SZ,2024-01-26,0.957,0.957,0.966,0.948,0.959,0.002,0.209,120638.0,11506.58,1.0
159692.SZ,2024-01-29,0.959,0.959,0.959,0.945,0.951,-0.008,-0.8342,83350.0,7939.695,1.0
159692.SZ,2024-01-30,0.951,0.95,0.95,0.93,0.931,-0.02,-2.103,85739.0,8077.172,1.0
159692.SZ,2024-01-31,0.931,0.929,0.935,0.916,0.922,-0.009,-0.9667,87763.0,8130.661,1.0
159692.SZ,2024-02-01,0.922,0.921,0.936,0.912,0.922,0.0,0.0,115340.0,10660.331,1.0
159692.SZ,2024-02-02,0.922,0.914,0.922,0.877,0.9,-0.022,-2.3861,164181.0,14879.959,1.0
159692.SZ,2024-02-05,0.9,0.888,0.909,0.87,0.893,-0.007,-0.7778,99207.0,8787.312,1.0
159692.SZ,2024-02-06,0.893,0.89,0.942,0.884,0.938,0.045,5.0392,110125.0,10135.723,1.0
159692.SZ,2024-02-07,0.938,0.929,0.95,0.929,0.945,0.007,0.7463,55549.0,5237.467,1.0
159692.SZ,2024-02-08,0.945,0.945,0.966,0.945,0.954,0.009,0.9524,79603.0,7584.136,1.0
