ts_code,date,pre_close,open,high,low,close,change,pct_chg,volume,amount
159776.SZ,20240102,0.912,0.914,0.919,0.899,0.9,-0.012,-1.3158,593086.0,53571.552
159776.SZ,20240103,0.9,0.894,0.909,0.886,0.892,-0.008,-0.8889,226607.0,20296.864
159776.SZ,20240104,0.892,0.893,0.896,0.887,0.894,0.002,0.2242,215235.0,19179.779
159776.SZ,20240105,0.894,0.89,0.891,0.861,0.864,-0.03,-3.3557,476992.0,41770.751
159776.SZ,20240108,0.864,0.86,0.868,0.835,0.838,-0.026,-3.0093,435898.0,36791.213
159776.SZ,20240109,0.838,0.843,0.867,0.843,0.855,0.017,2.0286,343594.0,29451.68
159776.SZ,20240110,0.855,0.854,0.871,0.853,0.864,0.009,1.0526,303799.0,26245.755
159776.SZ,20240111,0.864,0.877,0.884,0.865,0.873,0.009,1.0417,1016772.0,88763.601
159776.SZ,20240112,0.873,0.867,0.868,0.855,0.856,-0.017,-1.9473,335139.0,28869.621
159776.SZ,20240115,0.856,0.854,0.868,0.85,0.857,0.001,0.1168,346193.0,29804.838
159776.SZ,20240116,0.857,0.851,0.861,0.841,0.845,-0.012,-1.4002,232539.0,19766.914
159776.SZ,20240117,0.845,0.84,0.841,0.802,0.803,-0.042,-4.9704,386981.0,31627.369
159776.SZ,20240118,0.803,0.804,0.817,0.8,0.815,0.012,1.4944,730389.69,58990.579
159776.SZ,20240119,0.815,0.815,0.818,0.78,0.78,-0.035,-4.2945,511051.0,40802.732
159776.SZ,20240122,0.78,0.785,0.786,0.741,0.744,-0.036,-4.6154,496267.31,37637.666
159776.SZ,20240123,0.744,0.745,0.78,0.745,0.766,0.022,2.957,695097.0,53309.527
159776.SZ,20240124,0.766,0.778,0.784,0.758,0.773,0.007,0.9138,517351.0,39896.474
159776.SZ,20240125,0.773,0.782,0.799,0.773,0.799,0.026,3.3635,543314.0,42842.125
159776.SZ,20240126,0.799,0.8,0.814,0.731,0.75,-0.049,-6.1327,912268.0,70614.182
159776.SZ,20240129,0.75,0.758,0.772,0.744,0.747,-0.003,-0.4,867599.0,65733.168
159776.SZ,20240130,0.747,0.738,0.75,0.727,0.732,-0.015,-2.008,557366.0,40962.555
159776.SZ,20240131,0.732,0.725,0.729,0.7,0.703,-0.029,-3.9617,500446.0,35612.883
159776.SZ,20240201,0.703,0.705,0.729,0.702,0.717,0.014,1.9915,561703.0,40400.035
159776.SZ,20240202,0.717,0.723,0.732,0.676,0.686,-0.031,-4.3236,573640.0,40195.384
159776.SZ,20240205,0.686,0.689,0.691,0.669,0.683,-0.003,-0.4373,512574.0,34906.313
159776.SZ,20240206,0.683,0.68,0.73,0.675,0.73,0.047,6.8814,608858.0,42861.435
159776.SZ,20240207,0.73,0.737,0.756,0.723,0.732,0.002,0.274,524699.0,38896.009
159776.SZ,20240208,0.732,0.735,0.735,0.718,0.723,-0.009,-1.2295,423930.0,30767.259
159776.SZ,20240219,0.723,0.737,0.744,0.734,0.742,0.019,2.6279,344678.0,25470.492
159776.SZ,20240220,0.742,0.742,0.763,0.738,0.755,0.013,1.752,398103.0,29959.411
159776.SZ,20240221,0.755,0.757,0.783,0.751,0.774,0.019,2.5166,384562.0,29642.18
159776.SZ,20240222,0.774,0.773,0.781,0.769,0.777,0.003,0.3876,239306.0,18527.187
