ts_code,date,pre_close,open,high,low,close,change,pct_chg,volume,amount,adj_factor
512720.SH,2024-01-02,0.941,0.942,0.943,0.92,0.92,-0.021,-2.2317,584146.0,54162.324,1.1
512720.SH,2024-01-03,0.92,0.918,0.922,0.893,0.901,-0.019,-2.0652,1035166.0,93592.51,1.1
512720.SH,2024-01-04,0.901,0.902,0.902,0.883,0.888,-0.013,-1.4428,836128.0,74517.648,1.1
512720.SH,2024-01-05,0.888,0.888,0.893,0.866,0.87,-0.018,-2.027,827892.0,72908.935,1.1
512720.SH,2024-01-08,0.87,0.87,0.871,0.847,0.847,-0.023,-2.6437,891387.0,76422.062,1.1
512720.SH,2024-01-09,0.847,0.854,0.855,0.831,0.837,-0.01,-1.1806,1156067.0,97646.723,1.1
512720.SH,2024-01-10,0.837,0.836,0.838,0.817,0.824,-0.013,-1.5532,1286929.0,106226.961,1.1
512720.SH,2024-01-11,0.824,0.821,0.85,0.821,0.849,0.025,3.034,1198679.0,100761.703,1.1
512720.SH,2024-01-12,0.849,0.842,0.847,0.831,0.832,-0.017,-2.0024,828830.0,69519.788,1.1
512720.SH,2024-01-15,0.832,0.827,0.835,0.823,0.823,-0.009,-1.0817,761141.0,63032.887,1.1
512720.SH,2024-01-16,0.823,0.821,0.823,0.805,0.819,-0.004,-0.486,960836.0,78321.176,1.1
512720.SH,2024-01-17,0.819,0.819,0.822,0.803,0.804,-0.015,-1.8315,786120.0,64177.446,1.1
512720.SH,2024-01-18,0.804,0.802,0.82,0.789,0.815,0.011,1.3682,895033.0,71611.222,1.1
512720.SH,2024-01-19,0.815,0.81,0.818,0.802,0.802,-0.013,-1.5951,761006.52,61646.961,1.1
512720.SH,2024-01-22,0.802,0.798,0.805,0.761,0.769,-0.033,-4.1147,1029384.0,80921.19,1.1
512720.SH,2024-01-23,0.769,0.766,0.795,0.761,0.788,0.019,2.4707,1438135.0,112179.452,1.1
512720.SH,2024-01-24,0.788,0.795,0.801,0.769,0.798,0.01,1.269,865366.0,67928.053,1.1
512720.SH,2024-01-25,0.798,0.793,0.823,0.79,0.82,0.022,2.7569,795018.0,63990.353,1.1
512720.SH,2024-01-26,0.82,0.812,0.823,0.807,0.808,-0.012,-1.4634,845858.0,68963.59,1.1
512720.SH,2024-01-29,0.808,0.805,0.813,0.782,0.783,-0.025,-3.0941,1024617.0,81384.707,1.1
512720.SH,2024-01-30,0.783,0.78,0.796,0.77,0.771,-0.012,-1.5326,878983.0,69140.494,1.1
512720.SH,2024-01-31,0.771,0.765,0.771,0.735,0.736,-0.035,-4.5396,1085811.0,81608.479,1.1
512720.SH,2024-02-01,0.736,0.734,0.766,0.727,0.747,0.011,1.4946,1297144.0,96937.136,1.1
512720.SH,2024-02-02,0.747,0.742,0.757,0.691,0.725,-0.022,-2.9451,1069575.0,78009.512,1.1
512720.SH,2024-02-05,0.725,0.717,0.721,0.67,0.696,-0.029,-4.0,940851.0,65730.508,1.1
512720.SH,2024-02-06,0.696,0.685,0.76,0.685,0.751,0.055,7.9023,1538599.0,111803.591,1.1
512720.SH,2024-02-07,0.751,0.746,0.773,0.736,0.764,0.013,1.731,628753.0,48088.174,1.1
512720.SH,2024-02-08,0.764,0.767,0.803,0.767,0.792,0.028,3.6649,578626.0,45724.477,1.1
512720.SH,2024-02-19,0.792,0.814,0.822,0.8,0.822,0.03,3.7879,919158.0,74796.216,1.1
512720.SH,2024-02-20,0.822,0.811,0.817,0.804,0.815,-0.007,-0.8516,477703.0,38762.642,1.1
512720.SH,2024-02-21,0.815,0.8,0.836,0.8,0.815,0.0,0.0,783712.0,64442.392,1.1
512720.SH,2024-02-22,0.815,0.826,0.85,0.821,0.843,0.028,3.4356,1214329.0,101772.192,1.1
