ts_code,date,pre_close,open,high,low,close,change,pct_chg,volume,amount
515330.SH,20240102,0.937,0.938,0.938,0.925,0.926,-0.011,-1.174,53306.0,4955.711
515330.SH,20240103,0.926,0.923,0.927,0.918,0.923,-0.003,-0.324,73877.0,6810.539
515330.SH,20240104,0.923,0.923,0.924,0.908,0.915,-0.008,-0.8667,153547.0,13993.346
515330.SH,20240105,0.915,0.915,0.921,0.906,0.911,-0.004,-0.4372,68160.0,6231.094
515330.SH,20240108,0.911,0.911,0.912,0.899,0.901,-0.01,-1.0977,126250.0,11401.47
515330.SH,20240109,0.901,0.896,0.905,0.896,0.9,-0.001,-0.111,81171.0,7297.627
515330.SH,20240110,0.9,0.9,0.906,0.894,0.897,-0.003,-0.3333,83786.0,7534.142
515330.SH,20240111,0.897,0.898,0.907,0.895,0.902,0.005,0.5574,104324.0,9402.581
515330.SH,20240112,0.902,0.899,0.906,0.897,0.898,-0.004,-0.4435,60375.0,5438.924
515330.SH,20240115,0.898,0.897,0.904,0.892,0.897,-0.001,-0.1114,61175.0,5488.076
515330.SH,20240116,0.897,0.896,0.903,0.892,0.902,0.005,0.5574,77401.0,6952.851
515330.SH,20240117,0.902,0.9,0.9,0.883,0.886,-0.016,-1.7738,103739.0,9261.065
515330.SH,20240118,0.886,0.886,0.896,0.868,0.895,0.009,1.0158,223269.0,19603.437
515330.SH,20240119,0.895,0.892,0.897,0.887,0.894,-0.001,-0.1117,102375.0,9147.332
515330.SH,20240122,0.894,0.895,0.897,0.875,0.889,-0.005,-0.5593,100758.0,8917.972
515330.SH,20240123,0.889,0.887,0.889,0.873,0.883,-0.006,-0.6749,833575.0,73687.897
515330.SH,20240124,0.883,0.885,0.897,0.872,0.896,0.013,1.4723,184606.0,16366.982
515330.SH,20240125,0.896,0.896,0.915,0.89,0.913,0.017,1.8973,3974602.0,360543.339
515330.SH,20240126,0.913,0.913,0.916,0.907,0.912,-0.001,-0.1095,204197.0,18594.007
515330.SH,20240129,0.912,0.914,0.915,0.902,0.902,-0.01,-1.0965,3402647.0,309238.406
515330.SH,20240130,0.902,0.9,0.901,0.888,0.889,-0.013,-1.4412,150820.0,13510.741
515330.SH,20240131,0.889,0.89,0.89,0.874,0.88,-0.009,-1.0124,139258.0,12268.834
515330.SH,20240201,0.88,0.879,0.897,0.873,0.882,0.002,0.2273,2960024.91,261631.164
515330.SH,20240202,0.882,0.89,0.89,0.85,0.874,-0.008,-0.907,202046.97,17591.045
515330.SH,20240205,0.874,0.863,0.885,0.851,0.877,0.003,0.3432,216071.05,18783.972
515330.SH,20240206,0.877,0.877,0.906,0.87,0.903,0.026,2.9647,196965.07,17618.31
515330.SH,20240207,0.903,0.902,0.917,0.902,0.916,0.013,1.4396,1389550.0,127027.381
515330.SH,20240208,0.916,0.921,0.936,0.911,0.924,0.008,0.8734,1033898.98,94718.294
515330.SH,20240219,0.924,0.924,0.928,0.918,0.926,0.002,0.2165,232972.98,21518.551
515330.SH,20240220,0.926,0.926,0.932,0.921,0.93,0.004,0.432,198884.0,18433.277
515330.SH,20240221,0.93,0.923,0.957,0.923,0.943,0.013,1.3978,251075.0,23704.654
515330.SH,20240222,0.943,0.943,0.953,0.942,0.953,0.01,1.0604,66969.0,6351.526
515330.SH,20240223,0.953,0.954,0.958,0.948,0.953,0.0,0.0,557139.0,53048.848
515330.SH,20240226,0.953,0.951,0.953,0.94,0.941,-0.012,-1.2592,106384.0,10065.346
515330.SH,20240227,0.941,0.941,0.954,0.938,0.953,0.012,1.2752,90850.5,8604.87
515330.SH,20240228,0.953,0.952,0.962,0.944,0.944,-0.009,-0.9444,111108.0,10594.529
515330.SH,20240229,0.944,0.945,0.96,0.944,0.96,0.016,1.6949,68013.15,6486.224
515330.SH,20240301,0.96,0.96,0.968,0.955,0.967,0.007,0.7292,216795.99,20847.851
515330.SH,20240304,0.967,0.966,0.968,0.96,0.965,-0.002,-0.2068,3016207.35,290039.728
515330.SH,20240305,0.965,0.962,0.974,0.96,0.972,0.007,0.7254,198873.77,19245.659
515330.SH,20240306,0.972,0.972,0.978,0.969,0.971,-0.001,-0.1029,67595.84,6571.057
515330.SH,20240307,0.971,0.97,0.975,0.962,0.964,-0.007,-0.7209,138054.56,13379.305
515330.SH,20240308,0.964,0.962,0.969,0.959,0.968,0.004,0.4149,82664.0,7977.023
515330.SH,20240311,0.968,0.968,0.98,0.962,0.979,0.011,1.1364,119662.0,11636.663
515330.SH,20240312,0.979,0.981,0.985,0.977,0.983,0.004,0.4086,62125.0,6098.703
515330.SH,20240313,0.983,0.983,0.983,0.974,0.977,-0.006,-0.6104,41379.0,4045.264
515330.SH,20240314,0.977,0.976,0.982,0.968,0.973,-0.004,-0.4094,73032.0,7119.481
515330.SH,20240315,0.973,0.972,0.976,0.965,0.975,0.002,0.2055,1638034.0,158990.414
515330.SH,20240318,0.975,0.974,0.984,0.974,0.984,0.009,0.9231,2502041.0,245535.267
515330.SH,20240319,0.984,0.984,0.986,0.977,0.978,-0.006,-0.6098,25315.0,2483.2
515330.SH,20240320,0.978,0.978,0.981,0.975,0.979,0.001,0.1022,142017.0,13882.226
515330.SH,20240321,0.979,0.979,0.983,0.976,0.978,-0.001,-0.1021,34427.0,3372.35
515330.SH,20240322,0.978,0.976,0.976,0.962,0.969,-0.009,-0.9202,93873.0,9085.667
515330.SH,20240325,0.969,0.968,0.973,0.963,0.965,-0.004,-0.4128,38718.0,3747.233
515330.SH,20240326,0.965,0.964,0.969,0.961,0.967,0.002,0.2073,82288.0,7946.248
515330.SH,20240327,0.967,0.963,0.968,0.957,0.958,-0.009,-0.9307,51673.0,4971.055
515330.SH,20240328,0.958,0.958,0.97,0.954,0.962,0.004,0.4175,144930.0,13935.229
515330.SH,20240329,0.962,0.96,0.967,0.96,0.965,0.003,0.3119,20511.0,1977.105
515330.SH,20240401,0.965,0.967,0.984,0.967,0.982,0.017,1.7617,79577.0,7795.002
515330.SH,20240402,0.982,0.983,0.983,0.976,0.979,-0.003,-0.3055,25434.0,2489.185
515330.SH,20240403,0.979,0.978,0.978,0.972,0.975,-0.004,-0.4086,16905.0,1647.6
515330.SH,20240408,0.975,0.975,0.975,0.965,0.967,-0.008,-0.8205,63793.0,6184.004
515330.SH,20240409,0.967,0.969,0.969,0.962,0.966,-0.001,-0.1034,40398.0,3895.918
515330.SH,20240410,0.966,0.965,0.966,0.953,0.957,-0.009,-0.9317,44653.0,4279.973
515330.SH,20240411,0.957,0.955,0.961,0.952,0.958,0.001,0.1045,49844.0,4770.197
515330.SH,20240412,0.958,0.959,0.96,0.946,0.95,-0.008,-0.8351,33869.0,3225.301
515330.SH,20240415,0.95,0.948,0.97,0.948,0.969,0.019,2.0,65022.0,6267.414
515330.SH,20240416,0.969,0.969,0.969,0.956,0.96,-0.009,-0.9288,62811.0,6052.081
515330.SH,20240417,0.96,0.96,0.974,0.955,0.972,0.012,1.25,818128.0,79445.778
515330.SH,20240418,0.972,0.971,0.983,0.97,0.975,0.003,0.3086,158701.0,15526.571
515330.SH,20240419,0.975,0.973,0.974,0.964,0.968,-0.007,-0.7179,31656.0,3064.897
515330.SH,20240422,0.968,0.968,0.973,0.963,0.965,-0.003,-0.3099,21593.0,2089.261
515330.SH,20240423,0.965,0.965,0.966,0.957,0.958,-0.007,-0.7254,35415.0,3400.787
515330.SH,20240424,0.958,0.961,0.963,0.956,0.962,0.004,0.4175,61483.0,5899.809
515330.SH,20240425,0.962,0.96,0.968,0.957,0.965,0.003,0.3119,18448.0,1777.804
515330.SH,20240426,0.965,0.964,0.981,0.964,0.978,0.013,1.3472,407670.0,39765.846
515330.SH,20240429,0.978,0.984,0.996,0.978,0.99,0.012,1.227,93344.0,9233.451
515330.SH,20240430,0.99,0.99,0.992,0.985,0.985,-0.005,-0.5051,41283.0,4079.044
515330.SH,20240506,0.985,0.998,1.003,0.989,0.999,0.014,1.4213,168596.0,16834.015
515330.SH,20240507,0.999,0.999,1.003,0.996,1.001,0.002,0.2002,1083112.0,108335.635
515330.SH,20240508,1.001,1.0,1.0,0.991,0.992,-0.009,-0.8991,37607.0,3740.677
515330.SH,20240509,0.992,0.995,1.003,0.993,1.001,0.009,0.9073,54257.0,5424.333
515330.SH,20240510,1.001,1.001,1.005,0.994,1.002,0.001,0.0999,52998.0,5301.687
515330.SH,20240513,1.002,0.998,1.004,0.992,1.001,-0.001,-0.0998,43136.0,4308.287
515330.SH,20240514,1.001,1.001,1.005,0.997,1.001,0.0,0.0,47303.0,4730.271
515330.SH,20240515,1.001,0.999,0.999,0.992,0.993,-0.008,-0.7992,37172.0,3698.408
515330.SH,20240516,0.993,0.994,1.002,0.991,0.997,0.004,0.4028,1041193.0,104020.238
515330.SH,20240517,0.997,0.997,1.007,0.993,1.005,0.008,0.8024,1187372.0,118802.608
515330.SH,20240520,1.005,1.007,1.013,1.005,1.008,0.003,0.2985,186236.0,18786.607
515330.SH,20240521,1.008,1.008,1.009,1.003,1.005,-0.003,-0.2976,1106472.0,111377.965
515330.SH,20240522,1.005,1.007,1.011,1.004,1.009,0.004,0.398,1087266.0,109672.822
515330.SH,20240523,1.009,1.008,1.008,0.996,0.997,-0.012,-1.1893,612610.0,61165.305
515330.SH,20240524,0.997,0.995,1.0,0.986,0.986,-0.011,-1.1033,272020.0,27011.091
515330.SH,20240527,0.986,0.987,0.996,0.987,0.994,0.008,0.8114,38339.0,3797.66
515330.SH,20240528,0.994,0.995,0.995,0.987,0.989,-0.005,-0.503,29203.0,2892.253
515330.SH,20240529,0.989,0.989,0.994,0.986,0.989,0.0,0.0,24132.0,2389.898
515330.SH,20240530,0.989,0.988,0.992,0.984,0.986,-0.003,-0.3033,51719.0,5103.19
515330.SH,20240531,0.986,0.986,0.99,0.981,0.982,-0.004,-0.4057,37213.0,3668.987
515330.SH,20240603,0.982,0.981,0.987,0.977,0.981,-0.001,-0.1018,47455.9,4658.67
515330.SH,20240604,0.981,0.981,0.992,0.981,0.991,0.01,1.0194,45525.9,4488.832
515330.SH,20240605,0.991,0.991,0.992,0.985,0.986,-0.005,-0.5045,35902.0,3547.884
