ts_code,name,benchmark,found_date,amount
520680.SH,N港股通汽车ETF南方,中证港股通汽车产业主题指数(人民币)收益率,20260318,10950.468
159191.SZ,港股通科技ETF易方达,国证港股通科技指数收益率(使用估值汇率折算),20260318,15807.618
159183.SZ,新能源车ETF招商,中证新能源汽车指数收益率,20260313,12767.656
560210.SH,农牧渔ETF景顺,中证全指农牧渔指数收益率,20260311,15592.417
159170.SZ,港股通互联网ETF永赢,国证港股通互联网指数收益率(按照估值汇率折算),20260311,20163.966
159172.SZ,养殖ETF汇添富,中证畜牧养殖产业指数收益率,20260311,19137.608
159166.SZ,现金流ETF长城,国证自由现金流指数收益率,20260311,7158.238
512460.SH,电池ETF华夏,中证电池主题指数收益率,20260311,36899.62
159181.SZ,石油ETF易方达,国证石油天然气指数收益率,20260311,17959.677
159189.SZ,石油ETF华夏,国证石油天然气指数收益率,20260311,9374.649
513930.SH,恒生生物科技ETF华泰柏瑞,恒生生物科技指数收益率(使用估值汇率折算),20260309,39664.4
560400.SH,证券ETF华泰柏瑞,中证全指证券公司指数收益率,20260309,20405.007
515460.SH,红利质量ETF南方,中证全指红利质量指数收益率,20260304,13022.98
159175.SZ,电池ETF易方达,中证电池主题指数收益率,20260225,45064.378
560390.SH,电网设备ETF易方达,恒生A股电网设备指数收益率,20260213,200985.266
159171.SZ,工业有色ETF博时,中证工业有色金属主题指数收益率,20260213,7972.991
159169.SZ,恒生生物科技ETF广发,恒生生物科技指数收益率(使用估值汇率折算),20260212,14321.778
560270.SH,电力ETF工银,中证全指电力公用事业指数收益率,20260211,20524.18
560310.SH,光伏ETF博时,中证光伏产业指数收益率,20260211,3120.643
520760.SH,恒生生物科技ETF摩根,恒生生物科技指数收益率(经汇率调整后),20260211,16865.466
560370.SH,红利质量ETF易方达,中证全指红利质量指数收益率,20260210,2761.81
159159.SZ,公用事业ETF国投瑞银,中证全指公用事业指数收益率,20260204,16521.888
563560.SH,科技成长ETF兴业,中证科技优势成长50策略指数收益率,20260204,16826.248
159165.SZ,养殖ETF永赢,中证畜牧养殖产业指数收益率,20260204,17838.558
515970.SH,工程机械ETF华夏,中证工程机械主题指数收益率,20260204,92443.686
512940.SH,有色ETF华安,中证有色金属矿业主题指数收益率,20260204,132640.82
159167.SZ,港股通医疗ETF工银,经汇率调整后的中证港股通医疗主题指数收益率,20260204,7559.791
159156.SZ,电池ETF万家,国证新能源车电池指数收益率,20260204,15948.755
159168.SZ,有色ETF富国,中证工业有色金属主题指数收益率,20260204,28800.003
159148.SZ,石油ETF富国,国证石油天然气指数收益率,20260203,45510.952
530060.SH,上证指数ETF易方达,上证综合指数收益率,20260130,30069.096
159153.SZ,消费电子ETF鹏华,国证消费电子主题指数收益率,20260129,14340.175
159157.SZ,有色金属ETF天弘,中证工业有色金属主题指数收益率,20260128,153508.325
560710.SH,船舶ETF富国,中证智选船舶产业指数收益率,20260128,91432.377
560230.SH,光伏ETF富国,中证光伏产业指数收益率,20260128,6509.884
589170.SH,科创芯片设计ETF鹏华,上证科创板芯片设计主题指数收益率,20260128,33929.956
159135.SZ,港股通科技ETF前海开源,恒生港股通科技主题指数收益率(经估值汇率调整),20260128,22575.669
520610.SH,港股红利低波ETF银华,标普港股通低波红利指数收益率(经估值汇率调整),20260128,11724.434
159163.SZ,有色ETF泰康,中证有色金属矿业主题指数收益率,20260127,15707.65
560290.SH,有色ETF景顺,中证有色金属矿业主题指数收益率,20260126,14588.851
516230.SH,光伏ETF招商,中证光伏产业指数收益率,20260123,10233.02
159247.SZ,创业板ETF汇添富,创业板指数收益率,20260122,20073.412
520930.SH,恒生生物科技ETF国泰,恒生生物科技指数收益率(经汇率调整),20260121,6064.947
589160.SH,科创芯片ETF广发,上证科创板芯片指数收益率,20260121,63130.858
159162.SZ,工业有色ETF鹏华,中证工业有色金属主题指数收益率,20260121,19200.316
520910.SH,港股通互联网ETF华夏,经估值汇率调整后的中证港股通互联网指数收益率,20260121,26109.585
159152.SZ,港股通科技ETF平安,恒生港股通科技主题指数收益率(经汇率调整),20260121,83759.765
589190.SH,科创芯片ETF华宝,上证科创板芯片指数收益率,20260119,115431.337
560160.SH,食品ETF易方达,中证全指食品指数收益率,20260119,3374.203
589220.SH,科创200ETF国泰,上证科创板200指数收益率,20260116,30553.848
159158.SZ,电力ETF景顺,中证全指电力公用事业指数收益率,20260116,36106.509
