ts_code,ann_date,end_date,n_income,basic_eps
002196.SZ,20230429,20230331,8347248.16,0.0164
002196.SZ,20230816,20230630,26744796.49,0.0534
002196.SZ,20231027,20230930,86835250.92,0.1731
002196.SZ,20240430,20231231,99535993.93,0.2009
002196.SZ,20240430,20240331,-8414046.57,-0.0168
002196.SZ,20240822,20240630,693615.69,0.0017
002196.SZ,20241030,20240930,-217619.07,0.0
002196.SZ,20250416,20241231,-28593515.1,-0.057
002196.SZ,20250416,20250331,-15107678.95,-0.0303
002196.SZ,20250830,20250630,-7337119.26,-0.0145
002196.SZ,20251028,20250930,13545246.19,0.0277
002196.SZ,20260415,20251231,19344350.76,0.0423
002196.SZ,20260415,20260331,11424132.33,0.0234
