ts_code,ann_date,end_date,n_income,basic_eps
600313.SH,20230408,20230331,58238376.68,0.0361
600313.SH,20230728,20230630,105536925.11,0.0672
600313.SH,20231018,20230930,151322039.19,0.0927
600313.SH,20240419,20231231,216647636.18,0.1174
600313.SH,20240427,20240331,66970191.71,0.042
600313.SH,20240824,20240630,80323620.69,0.051
600313.SH,20241026,20240930,82504042.09,0.0512
600313.SH,20250419,20241231,88150453.62,0.04
600313.SH,20250426,20250331,70885788.78,0.05
600313.SH,20250823,20250630,84301555.32,0.06
600313.SH,20251031,20250930,87511855.11,0.06
600313.SH,20260418,20251231,147429894.09,0.08
600313.SH,20260430,20260331,28471032.5,0.02
