ts_code,ann_date,end_date,n_income,basic_eps
920175.BJ,20230511,20230331,14374548.99,0.17
920175.BJ,20230829,20230630,45716551.06,0.53
920175.BJ,20231028,20230930,57785359.73,0.59
920175.BJ,20240417,20231231,69026082.61,0.67
920175.BJ,20240423,20240331,15773179.03,0.13
920175.BJ,20240827,20240630,-8785872.73,-0.07
920175.BJ,20241030,20240930,-35651392.2,-0.3
920175.BJ,20250417,20241231,-61424864.02,-0.52
920175.BJ,20250430,20250331,-18096027.65,-0.15
920175.BJ,20250826,20250630,-57191388.84,-0.48
920175.BJ,20251029,20250930,-62770054.95,-0.53
920175.BJ,20260421,20251231,-120191951.34,-1.01
920175.BJ,20260429,20260331,-13901332.54,-0.12
