ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
,2024-01-02,15.9,15.95,15.63,15.69,15.8,-0.1100000000000012,-0.7,83064.71,131279.759
,2024-01-03,15.47,15.71,15.11,15.38,15.69,-0.3099999999999987,-1.98,99967.95,154096.841
,2024-01-04,15.23,15.31,14.87,14.9,15.38,-0.4800000000000004,-3.12,71347.26,107249.853
,2024-01-05,14.94,15.04,14.4,14.54,14.9,-0.3600000000000012,-2.42,73839.58,108567.801
,2024-01-08,14.36,14.46,13.73,13.95,14.54,-0.5899999999999999,-4.06,76625.7,107758.337
,2024-01-09,13.99,14.28,13.73,13.82,13.95,-0.129999999999999,-0.93,73575.37,103488.206
,2024-01-10,13.67,13.94,13.14,13.15,13.82,-0.6699999999999999,-4.85,99000.17,132026.13
,2024-01-11,13.13,13.93,13.07,13.86,13.15,0.7099999999999991,5.4,80709.5,109857.702
,2024-01-12,13.84,13.9,13.61,13.62,13.86,-0.2400000000000002,-1.73,51539.25,71178.144
,2024-01-15,13.54,13.68,13.33,13.39,13.62,-0.2299999999999986,-1.69,47457.0,64122.94
,2024-01-16,13.39,13.39,13.03,13.27,13.39,-0.120000000000001,-0.9,49511.5,65452.42
,2024-01-17,13.35,13.5,13.01,13.03,13.27,-0.2400000000000002,-1.81,56137.5,74449.727
,2024-01-18,12.95,13.26,12.76,13.2,13.03,0.1699999999999999,1.3,66773.55,87062.078
,2024-01-19,13.23,13.31,12.75,12.78,13.2,-0.4199999999999999,-3.18,51029.0,66529.314
,2024-01-22,12.87,12.87,11.76,11.96,12.78,-0.8199999999999985,-6.42,85140.53,105123.638
,2024-01-23,11.92,12.2,11.75,12.02,11.96,0.0599999999999987,0.5,56538.5,68041.276
,2024-01-24,12.02,12.18,11.42,11.86,12.02,-0.1600000000000001,-1.33,62160.58,73393.232
,2024-01-25,11.87,12.3,11.75,12.25,11.86,0.3900000000000005,3.29,52602.0,63837.61
,2024-01-26,12.17,12.35,11.92,11.93,12.25,-0.3200000000000003,-2.61,45322.0,55172.972
,2024-01-29,11.55,11.66,11.11,11.21,11.93,-0.7199999999999989,-6.04,80046.23,90813.968
,2024-01-30,11.08,11.33,10.92,10.92,11.21,-0.2900000000000009,-2.59,51555.0,57462.458
,2024-01-31,10.96,11.1,10.09,10.12,10.92,-0.8000000000000007,-7.33,74991.22,78739.094
,2024-02-01,10.03,10.2,9.68,9.9,10.12,-0.2199999999999988,-2.17,60525.27,60427.219
,2024-02-02,9.93,10.24,8.89,9.28,9.9,-0.620000000000001,-6.26,84588.49,80726.913
,2024-02-05,9.25,9.26,7.58,7.79,9.28,-1.489999999999999,-16.06,136331.39,110482.732
,2024-02-06,7.82,8.36,6.83,7.9,7.79,0.1100000000000003,1.41,144659.14,108832.25
,2024-02-07,7.98,8.16,7.14,7.21,7.9,-0.6900000000000004,-8.73,149899.89,113904.668
,2024-02-08,7.21,8.09,6.93,8.0,7.21,0.79,10.96,147373.5,113010.697
,2024-02-19,8.13,8.72,8.13,8.58,8.0,0.5800000000000001,7.25,121368.13,103302.806
,2024-02-20,8.63,9.31,8.37,9.25,8.58,0.6699999999999999,7.81,132087.6,119428.201
,2024-02-21,9.07,9.99,8.98,9.57,9.25,0.3200000000000003,3.46,129687.24,124259.588
,2024-02-22,9.7,10.02,9.51,10.0,9.57,0.4299999999999997,4.49,105786.4,104130.346
,2024-02-23,10.0,10.48,9.88,10.47,10.0,0.4700000000000006,4.7,101182.0,103644.568
,2024-02-26,10.67,11.3,10.48,10.9,10.47,0.4299999999999997,4.11,141906.0,154444.619
,2024-02-27,10.83,11.54,10.63,11.51,10.9,0.6099999999999994,5.6,122046.02,135835.214
,2024-02-28,11.51,11.77,9.88,9.88,11.51,-1.629999999999999,-14.16,202491.3,220256.049
,2024-02-29,9.72,10.81,9.69,10.77,9.88,0.8899999999999988,9.01,136517.42,143292.205
,2024-03-01,11.0,11.94,10.97,11.4,10.77,0.6300000000000008,5.85,199843.11,227996.034
,2024-03-04,11.47,11.92,11.3,11.83,11.4,0.4299999999999997,3.77,213361.83,250050.134
,2024-03-05,11.55,11.66,11.07,11.28,11.83,-0.5500000000000007,-4.65,191657.35,217694.462
,2024-03-06,11.56,12.14,11.13,11.74,11.28,0.4600000000000008,4.08,217310.34,253598.755
,2024-03-07,11.55,12.29,11.38,11.46,11.74,-0.2799999999999993,-2.39,228098.11,269361.58
,2024-03-08,11.57,11.74,11.17,11.63,11.46,0.1699999999999999,1.48,152220.96,175845.298
,2024-03-11,11.38,12.11,11.22,11.97,11.63,0.3399999999999998,2.92,195621.81,229339.456
,2024-03-12,11.79,11.94,11.55,11.79,11.97,-0.1800000000000015,-1.5,147641.84,174115.861
,2024-03-13,11.72,12.57,11.61,12.56,11.79,0.7700000000000014,6.53,255902.38,311339.36
,2024-03-14,12.27,12.38,11.91,12.14,12.56,-0.4199999999999999,-3.34,195929.68,239102.517
,2024-03-15,12.14,12.53,11.83,12.39,12.14,0.25,2.06,188170.58,232100.731
,2024-03-18,12.52,13.25,12.37,12.99,12.39,0.5999999999999996,4.84,248023.91,319629.207
,2024-03-19,12.87,13.26,12.79,12.8,12.99,-0.1899999999999995,-1.46,169912.99,220826.44
,2024-03-20,12.76,12.89,12.51,12.76,12.8,-0.0400000000000009,-0.31,134871.69,171000.243
,2024-03-21,12.61,14.93,12.46,14.36,12.76,1.5999999999999996,12.54,418882.26,574555.205
,2024-03-22,14.7,15.44,14.16,15.26,14.36,0.9000000000000004,6.27,430799.3,645630.262
,2024-03-25,15.36,15.51,13.64,13.86,15.26,-1.4000000000000004,-9.17,349257.62,515234.88
,2024-03-26,14.08,14.93,13.27,14.42,13.86,0.5600000000000005,4.04,342488.86,484299.648
,2024-03-27,14.44,14.85,12.76,12.95,14.42,-1.4700000000000006,-10.19,331569.5,455826.061
,2024-03-28,13.05,14.09,12.91,13.61,12.95,0.6600000000000001,5.1,231112.23,313046.605
,2024-03-29,13.65,14.35,13.54,14.24,13.61,0.6300000000000008,4.63,201663.2,283402.589
,2024-04-01,14.56,14.9,14.26,14.71,14.24,0.4700000000000006,3.3,239116.56,350557.147
,2024-04-02,14.32,14.71,13.96,14.26,14.71,-0.450000000000001,-3.06,170147.38,243901.431
,2024-04-03,14.21,14.22,13.24,13.4,14.26,-0.8599999999999994,-6.03,176749.56,239817.844
,2024-04-08,13.26,13.68,12.6,12.67,13.4,-0.7300000000000004,-5.45,166851.45,218095.287
,2024-04-09,12.68,12.84,12.08,12.67,12.67,0.0,0.0,186815.53,232145.454
,2024-04-10,12.66,12.75,11.98,12.13,12.67,-0.5399999999999991,-4.26,105233.82,129280.13
,2024-04-11,11.9,12.34,11.9,12.08,12.13,-0.0500000000000007,-0.41,81345.43,99132.614
,2024-04-12,12.07,12.23,11.62,11.72,12.08,-0.3599999999999994,-2.98,85276.02,101661.881
,2024-04-15,11.64,11.76,10.55,10.86,11.72,-0.8600000000000012,-7.34,146704.08,161475.359
,2024-04-16,10.77,10.86,9.44,9.88,10.86,-0.9799999999999986,-9.02,134483.08,133963.131
,2024-04-17,10.39,10.96,10.39,10.96,9.88,1.08,10.93,128070.75,138260.781
,2024-04-18,11.07,11.56,10.6,11.19,10.96,0.2299999999999986,2.1,134211.97,150678.564
,2024-04-19,11.04,11.57,10.9,11.1,11.19,-0.0899999999999998,-0.8,98685.5,110334.691
